Godot Engine v4.6.2.stable.official.71f334935 - https://godotengine.org
Metal 4.0 - Forward+ - Using Device #0: Apple - Apple M4 (Apple9)

TRACK CACHE saved user://tracks3d/chicago.scn
CHICAGO SHOT michigan-bean-day draws=565
CHICAGO SHOT michigan-bean-sightline-day draws=96
CHICAGO SHOT lake-shore-day draws=621
CHICAGO SHOT navy-pier-day draws=588
CHICAGO SHOT navy-pier-sightline-day draws=499
CHICAGO SHOT lower-wacker-day draws=96
CHICAGO SHOT willis-tower-day draws=565
CHICAGO SHOT willis-tower-sightline-day draws=43
CHICAGO SHOT upper-river-day draws=645
CHICAGO SHOT upper-river-sightline-day draws=541
CHICAGO SHOT michigan-bean-night draws=625
CHICAGO SHOT michigan-bean-sightline-night draws=108
CHICAGO SHOT lake-shore-night draws=678
CHICAGO SHOT navy-pier-night draws=642
CHICAGO SHOT navy-pier-sightline-night draws=537
CHICAGO SHOT lower-wacker-night draws=120
CHICAGO SHOT willis-tower-night draws=613
CHICAGO SHOT willis-tower-sightline-night draws=43
CHICAGO SHOT upper-river-night draws=702
CHICAGO SHOT upper-river-sightline-night draws=587
CHICAGO SHOTS RESULTS {"failures":[]}
